file|algorithm|peak|stack|time|substring_size
real-para|GCX|149124490|6291456|0.002231937000000|1
real-para|GCIS-ef|25825600|6291456|0.0620|1
real-para|PlainSlp_32Fblc|0|0|0.0118|1
real-para|PlainSlp_FblcFblc|0|0|0.0127|1
real-para|GCX|149124490|6291456|0.002509441000000|10
real-para|GCIS-ef|25825600|6291456|0.0887|10
real-para|PlainSlp_32Fblc|0|0|0.0134|10
real-para|PlainSlp_FblcFblc|0|0|0.0146|10
real-para|GCX|149124490|6291456|0.005817967000000|100
real-para|GCIS-ef|25825600|6291456|0.3345|100
real-para|PlainSlp_32Fblc|0|0|0.0245|100
real-para|PlainSlp_FblcFblc|0|0|0.0298|100
real-para|GCX|149124490|6291456|0.038804037000000|1000
real-para|GCIS-ef|25825600|6291456|2.7181|1000
real-para|PlainSlp_32Fblc|0|0|0.1206|1000
real-para|PlainSlp_FblcFblc|0|0|0.1600|1000
real-para|GCX|149124490|6291456|0.343832311000000|10000
real-para|GCIS-ef|25825600|6291456|24.6619|10000
real-para|PlainSlp_32Fblc|0|0|1.0245|10000
real-para|PlainSlp_FblcFblc|0|0|1.4040|10000
