file|algorithm|peak|stack|time|substring_size
xml-dblp.xml|GCX|152838279|6291456|0.002366255000000|1
xml-dblp.xml|GCIS-ef|89636188|6291456|0.0554|1
xml-dblp.xml|PlainSlp_32Fblc|0|0|0.0124|1
xml-dblp.xml|PlainSlp_FblcFblc|0|0|0.0114|1
xml-dblp.xml|GCX|152838279|6291456|0.002474949000000|10
xml-dblp.xml|GCIS-ef|89636188|6291456|0.0823|10
xml-dblp.xml|PlainSlp_32Fblc|0|0|0.0121|10
xml-dblp.xml|PlainSlp_FblcFblc|0|0|0.0135|10
xml-dblp.xml|GCX|152838279|6291456|0.004793154000000|100
xml-dblp.xml|GCIS-ef|89636188|6291456|0.3483|100
xml-dblp.xml|PlainSlp_32Fblc|0|0|0.0219|100
xml-dblp.xml|PlainSlp_FblcFblc|0|0|0.0265|100
xml-dblp.xml|GCX|152838279|6291456|0.029357677000000|1000
xml-dblp.xml|GCIS-ef|89636188|6291456|2.7574|1000
xml-dblp.xml|PlainSlp_32Fblc|0|0|0.0996|1000
xml-dblp.xml|PlainSlp_FblcFblc|0|0|0.1348|1000
xml-dblp.xml|GCX|152838279|6291456|0.249012451000000|10000
xml-dblp.xml|GCIS-ef|89636188|6291456|25.0106|10000
xml-dblp.xml|PlainSlp_32Fblc|0|0|0.7529|10000
xml-dblp.xml|PlainSlp_FblcFblc|0|0|1.0603|10000
