file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
artificial-fib41|GCX|2214763319|6291456|8.190580000000001|339537819|6291456|0.204682000000000|170235|267914296
artificial-fib41|GCIS-ef|1393822721|6291456|5.4894|561457645|6291456|5.8812|10010|267914296
artificial-fib41|GCIS-s8b|1396901663|6291456|5.4422|562048721|6291456|2.2111|80103|267914296
artificial-fib41|REPAIR|8321944300|6291456|42.862364|2408344|6291456|0.165202|51|267914296
artificial-fib41|GC3|2500533511|6291456|2.980455000000000|714556399|6291456|0.629492000000000|117643|267914296
artificial-fib41|GC4|2411228756|6291456|2.819912000000000|535976532|6291456|0.435054000000000|147476|267914296
artificial-fib41|GC5|2357645943|6291456|3.157530000000000|482409796|6291456|0.356335000000000|163675|267914296
artificial-fib41|GC6|2321924044|6291456|2.935765000000000|446674628|6291456|0.312105000000000|150500|267914296
artificial-fib41|GC7|2296408419|6291456|3.285938000000000|421213574|6291456|0.289438000000000|205083|267914296
artificial-fib41|GC8|2277271712|6291456|3.306938000000000|402050224|6291456|0.262695000000000|178432|267914296
artificial-fib41|GC9|2262387671|6291456|3.532017000000000|387132876|6291456|0.250091000000000|145143|267914296
artificial-fib41|GC11|2240738119|6291456|3.754382000000000|365589959|6291456|0.231153000000000|251999|267914296
artificial-fib41|GC15|2214758779|6291456|4.349291000000000|339556642|6291456|0.196860000000000|198115|267914296
artificial-fib41|GC30|2179037764|6291456|4.188218000000000|304079280|6291456|0.160446000000000|442428|267914296
artificial-fib41|GC32|2176805316|6291456|4.114447000000000|301841472|6291456|0.156980000000000|436656|267914296
artificial-fib41|GC60|2161180204|6291456|4.669488000000000|286092496|6291456|0.142569000000000|315712|267914296
artificial-fib41|GC64|2160064132|6291456|4.392077000000000|285042624|6291456|0.142240000000000|382512|267914296
