file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
corpus-sprot34.dat|GCX|963958852|6291456|4.620614000000000|233178998|6291456|0.312692000000000|74833850|109617186
corpus-sprot34.dat|GCIS-ef|696479362|6291456|7.9154|395606071|6291456|5.1176|51394345|109617186
corpus-sprot34.dat|GCIS-s8b|636469016|6291456|6.6936|361650827|6291456|1.6709|42668895|109617186
corpus-sprot34.dat|REPAIR|3280395750|6291456|81.326485|74783656|6291456|0.575870|34340293|109617186
corpus-sprot34.dat|GC3|1023244041|6291456|3.296643000000000|359981389|6291456|0.544285000000000|67668505|109617186
corpus-sprot34.dat|GC4|988314724|6291456|2.981828000000000|279917404|6291456|0.409719000000000|60682700|109617186
corpus-sprot34.dat|GC5|977232259|6291456|2.834233000000000|265902003|6291456|0.382476000000000|68590803|109617186
corpus-sprot34.dat|GC6|975675340|6291456|2.752725000000000|259604820|6291456|0.397418000000000|76909248|109617186
corpus-sprot34.dat|GC7|970463632|6291456|2.619962000000000|248538266|6291456|0.360582000000000|76282452|109617186
corpus-sprot34.dat|GC8|966447940|6291456|2.642979000000000|239843548|6291456|0.323907000000000|75417532|109617186
corpus-sprot34.dat|GC9|963953977|6291456|2.462667000000000|233556960|6291456|0.318929000000000|75220785|109617186
corpus-sprot34.dat|GC11|962152283|6291456|2.435960000000000|224601971|6291456|0.285166000000000|75123707|109617186
corpus-sprot34.dat|GC15|961503754|6291456|2.394559000000000|216150926|6291456|0.247351000000000|77302202|109617186
corpus-sprot34.dat|GC30|968726944|6291456|2.122782000000000|212191752|6291456|0.241278000000000|87958668|109617186
corpus-sprot34.dat|GC32|969636356|6291456|2.087305000000000|212411360|6291456|0.231902000000000|89090768|109617186
corpus-sprot34.dat|GC60|977730184|6291456|1.980101000000000|215496808|6291456|0.175694000000000|98568712|109617186
corpus-sprot34.dat|GC64|978359940|6291456|1.923376000000000|215806620|6291456|0.193242000000000|99333948|109617186
