file|algorithm|peak|stack|time|substring_size
pseudo-real-english.001.2|GCX|50054637|6291456|0.002167361000000|1
pseudo-real-english.001.2|GCIS-ef|6125808|6291456|0.0435|1
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0057|1
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0064|1
pseudo-real-english.001.2|GCX|50054637|6291456|0.002428970000000|10
pseudo-real-english.001.2|GCIS-ef|6125808|6291456|0.0730|10
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0068|10
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0086|10
pseudo-real-english.001.2|GCX|50054637|6291456|0.004883218000000|100
pseudo-real-english.001.2|GCIS-ef|6125808|6291456|0.3289|100
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.0170|100
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.0227|100
pseudo-real-english.001.2|GCX|50054637|6291456|0.032426162000000|1000
pseudo-real-english.001.2|GCIS-ef|6125808|6291456|2.8956|1000
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|0.1127|1000
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|0.1552|1000
pseudo-real-english.001.2|GCX|50054637|6291456|0.291574641000000|10000
pseudo-real-english.001.2|GCIS-ef|6125808|6291456|27.5305|10000
pseudo-real-english.001.2|PlainSlp_32Fblc|0|0|1.0533|10000
pseudo-real-english.001.2|PlainSlp_FblcFblc|0|0|1.4560|10000
