file|algorithm|peak|stack|time|substring_size
pseudo-real-sources.001.2|GCX|45943066|6291456|0.002122157000000|1
pseudo-real-sources.001.2|GCIS-ef|5964892|6291456|0.0436|1
pseudo-real-sources.001.2|PlainSlp_32Fblc|0|0|0.0055|1
pseudo-real-sources.001.2|PlainSlp_FblcFblc|0|0|0.0065|1
pseudo-real-sources.001.2|GCX|45943066|6291456|0.002336695000000|10
pseudo-real-sources.001.2|GCIS-ef|5964892|6291456|0.0722|10
pseudo-real-sources.001.2|PlainSlp_32Fblc|0|0|0.0067|10
pseudo-real-sources.001.2|PlainSlp_FblcFblc|0|0|0.0080|10
pseudo-real-sources.001.2|GCX|45943066|6291456|0.004806064000000|100
pseudo-real-sources.001.2|GCIS-ef|5964892|6291456|0.3301|100
pseudo-real-sources.001.2|PlainSlp_32Fblc|0|0|0.0169|100
pseudo-real-sources.001.2|PlainSlp_FblcFblc|0|0|0.0223|100
pseudo-real-sources.001.2|GCX|45943066|6291456|0.029420455000000|1000
pseudo-real-sources.001.2|GCIS-ef|5964892|6291456|2.7130|1000
pseudo-real-sources.001.2|PlainSlp_32Fblc|0|0|0.1090|1000
pseudo-real-sources.001.2|PlainSlp_FblcFblc|0|0|0.1526|1000
pseudo-real-sources.001.2|GCX|45943066|6291456|0.257544141000000|10000
pseudo-real-sources.001.2|GCIS-ef|5964892|6291456|25.9958|10000
pseudo-real-sources.001.2|PlainSlp_32Fblc|0|0|0.9902|10000
pseudo-real-sources.001.2|PlainSlp_FblcFblc|0|0|1.4005|10000
