file|algorithm|peak|stack|time|substring_size
artificial-fib41|GC2|591513|6291456|0,006943481000000|1
artificial-fib41|GC4|597861|6291456|0,003508017000000|1
artificial-fib41|GC8|628673|6291456|0,003840588000000|1
artificial-fib41|GC16|656717|6291456|0,002463810000000|1
artificial-fib41|GC32|886801|6291456|0,002254268000000|1
artificial-fib41|GC64|832657|6291456|0,002307019000000|1
artificial-fib41|GC128|2124153|6291456|0,002431226000000|1
artificial-fib41|GC2|591513|6291456|0,007583422000000|10
artificial-fib41|GC4|597861|6291456|0,004258853000000|10
artificial-fib41|GC8|628673|6291456|0,002965604000000|10
artificial-fib41|GC16|656717|6291456|0,002400914000000|10
artificial-fib41|GC32|886801|6291456|0,002587697000000|10
artificial-fib41|GC64|832657|6291456|0,002269596000000|10
artificial-fib41|GC128|2124153|6291456|0,002722408000000|10
artificial-fib41|GC2|591513|6291456|0,014140481000000|100
artificial-fib41|GC4|597861|6291456|0,007648437000000|100
artificial-fib41|GC8|628673|6291456|0,005323249000000|100
artificial-fib41|GC16|656717|6291456|0,004475049000000|100
artificial-fib41|GC32|886801|6291456|0,004051429000000|100
artificial-fib41|GC64|832657|6291456|0,003913495000000|100
artificial-fib41|GC128|2124153|6291456|0,004116378000000|100
artificial-fib41|GC2|591513|6291456|0,080639389000000|1000
artificial-fib41|GC4|597861|6291456|0,040489277000000|1000
artificial-fib41|GC8|628673|6291456|0,027410129000000|1000
artificial-fib41|GC16|656717|6291456|0,021771336000000|1000
artificial-fib41|GC32|886801|6291456|0,020910533000000|1000
artificial-fib41|GC64|832657|6291456|0,020334775000000|1000
artificial-fib41|GC128|2124153|6291456|0,019849217000000|1000
artificial-fib41|GC2|591513|6291456|0,663080070000000|10000
artificial-fib41|GC4|597861|6291456|0,334418362000000|10000
artificial-fib41|GC8|628673|6291456|0,237217343000000|10000
artificial-fib41|GC16|656717|6291456|0,195789958000000|10000
artificial-fib41|GC32|886801|6291456|0,176769750000000|10000
artificial-fib41|GC64|832657|6291456|0,182738699000000|10000
artificial-fib41|GC128|2124153|6291456|0,170597639000000|10000
