file|algorithm|peak|stack|time|substring_size
pseudo-real-english.001.2|GC2|5577547|6291456|0,010506695000000|1
pseudo-real-english.001.2|GC4|5151157|6291456|0,008329539000000|1
pseudo-real-english.001.2|GC8|6239001|6291456|0,005299163000000|1
pseudo-real-english.001.2|GC16|7705477|6291456|0,004551499000000|1
pseudo-real-english.001.2|GC32|10014985|6291456|0,003718449000000|1
pseudo-real-english.001.2|GC64|11603673|6291456|0,003442917000000|1
pseudo-real-english.001.2|GC128|15814189|6291456|0,003139832000000|1
pseudo-real-english.001.2|GC2|5577547|6291456|0,014607297000000|10
pseudo-real-english.001.2|GC4|5151157|6291456|0,007315336000000|10
pseudo-real-english.001.2|GC8|6239001|6291456|0,005576238000000|10
pseudo-real-english.001.2|GC16|7705477|6291456|0,004448352000000|10
pseudo-real-english.001.2|GC32|10014985|6291456|0,004004225000000|10
pseudo-real-english.001.2|GC64|11603673|6291456|0,003602014000000|10
pseudo-real-english.001.2|GC128|15814189|6291456|0,006444967000000|10
pseudo-real-english.001.2|GC2|5577547|6291456|0,028099634000000|100
pseudo-real-english.001.2|GC4|5151157|6291456|0,013636658000000|100
pseudo-real-english.001.2|GC8|6239001|6291456|0,011626434000000|100
pseudo-real-english.001.2|GC16|7705477|6291456|0,009904670000000|100
pseudo-real-english.001.2|GC32|10014985|6291456|0,007732183000000|100
pseudo-real-english.001.2|GC64|11603673|6291456|0,007053990000000|100
pseudo-real-english.001.2|GC128|15814189|6291456|0,005601602000000|100
pseudo-real-english.001.2|GC2|5577547|6291456|0,131404533000000|1000
pseudo-real-english.001.2|GC4|5151157|6291456|0,071625965000000|1000
pseudo-real-english.001.2|GC8|6239001|6291456|0,056008271000000|1000
pseudo-real-english.001.2|GC16|7705477|6291456|0,048967420000000|1000
pseudo-real-english.001.2|GC32|10014985|6291456|0,044317705000000|1000
pseudo-real-english.001.2|GC64|11603673|6291456|0,034603060000000|1000
pseudo-real-english.001.2|GC128|15814189|6291456|0,027886504000000|1000
pseudo-real-english.001.2|GC2|5577547|6291456|0,931733417000000|10000
pseudo-real-english.001.2|GC4|5151157|6291456|0,442259345000000|10000
pseudo-real-english.001.2|GC8|6239001|6291456|0,321326670000000|10000
pseudo-real-english.001.2|GC16|7705477|6291456|0,277046904000000|10000
pseudo-real-english.001.2|GC32|10014985|6291456|0,302157174000000|10000
pseudo-real-english.001.2|GC64|11603673|6291456|0,230050409000000|10000
pseudo-real-english.001.2|GC128|15814189|6291456|0,220127205000000|10000
