file|algorithm|peak|stack|time|substring_size
pseudo-real-proteins.001.1|GC2|5644149|6291456|0,014235927000000|1
pseudo-real-proteins.001.1|GC4|5208425|6291456|0,007546251000000|1
pseudo-real-proteins.001.1|GC8|6420817|6291456|0,005640578000000|1
pseudo-real-proteins.001.1|GC16|7664565|6291456|0,004725700000000|1
pseudo-real-proteins.001.1|GC32|9982649|6291456|0,003868546000000|1
pseudo-real-proteins.001.1|GC64|11579017|6291456|0,003641115000000|1
pseudo-real-proteins.001.1|GC128|15786413|6291456|0,003035492000000|1
pseudo-real-proteins.001.1|GC2|5644149|6291456|0,013676477000000|10
pseudo-real-proteins.001.1|GC4|5208425|6291456|0,007613688000000|10
pseudo-real-proteins.001.1|GC8|6420817|6291456|0,006932853000000|10
pseudo-real-proteins.001.1|GC16|7664565|6291456|0,004605674000000|10
pseudo-real-proteins.001.1|GC32|9982649|6291456|0,004048664000000|10
pseudo-real-proteins.001.1|GC64|11579017|6291456|0,003711888000000|10
pseudo-real-proteins.001.1|GC128|15786413|6291456|0,003242694000000|10
pseudo-real-proteins.001.1|GC2|5644149|6291456|0,028347177000000|100
pseudo-real-proteins.001.1|GC4|5208425|6291456|0,016091283000000|100
pseudo-real-proteins.001.1|GC8|6420817|6291456|0,012555505000000|100
pseudo-real-proteins.001.1|GC16|7664565|6291456|0,011090775000000|100
pseudo-real-proteins.001.1|GC32|9982649|6291456|0,007953761000000|100
pseudo-real-proteins.001.1|GC64|11579017|6291456|0,006751860000000|100
pseudo-real-proteins.001.1|GC128|15786413|6291456|0,005582578000000|100
pseudo-real-proteins.001.1|GC2|5644149|6291456|0,141604409000000|1000
pseudo-real-proteins.001.1|GC4|5208425|6291456|0,079569064000000|1000
pseudo-real-proteins.001.1|GC8|6420817|6291456|0,059662988000000|1000
pseudo-real-proteins.001.1|GC16|7664565|6291456|0,048764579000000|1000
pseudo-real-proteins.001.1|GC32|9982649|6291456|0,040151951000000|1000
pseudo-real-proteins.001.1|GC64|11579017|6291456|0,033129110000000|1000
pseudo-real-proteins.001.1|GC128|15786413|6291456|0,026474790000000|1000
pseudo-real-proteins.001.1|GC2|5644149|6291456|0,926062017000000|10000
pseudo-real-proteins.001.1|GC4|5208425|6291456|0,429609016000000|10000
pseudo-real-proteins.001.1|GC8|6420817|6291456|0,305466935000000|10000
pseudo-real-proteins.001.1|GC16|7664565|6291456|0,307975973000000|10000
pseudo-real-proteins.001.1|GC32|9982649|6291456|0,242438463000000|10000
pseudo-real-proteins.001.1|GC64|11579017|6291456|0,255791184000000|10000
pseudo-real-proteins.001.1|GC128|15786413|6291456|0,207193820000000|10000
