file|algorithm|peak|stack|time|substring_size
real-coreutils|GC2|95679331|6291456|0,016079551000000|1
real-coreutils|GC4|89507781|6291456|0,010078302000000|1
real-coreutils|GC8|89036793|6291456|0,007118565000000|1
real-coreutils|GC16|111039605|6291456|0,005670489000000|1
real-coreutils|GC32|133176169|6291456|0,004605201000000|1
real-coreutils|GC64|159202849|6291456|0,004105152000000|1
real-coreutils|GC128|180507341|6291456|0,003671750000000|1
real-coreutils|GC2|95679331|6291456|0,017345665000000|10
real-coreutils|GC4|89507781|6291456|0,009682457000000|10
real-coreutils|GC8|89036793|6291456|0,007497651000000|10
real-coreutils|GC16|111039605|6291456|0,005810364000000|10
real-coreutils|GC32|133176169|6291456|0,004882937000000|10
real-coreutils|GC64|159202849|6291456|0,004535387000000|10
real-coreutils|GC128|180507341|6291456|0,003854747000000|10
real-coreutils|GC2|95679331|6291456|0,040989837000000|100
real-coreutils|GC4|89507781|6291456|0,020419414000000|100
real-coreutils|GC8|89036793|6291456|0,015983432000000|100
real-coreutils|GC16|111039605|6291456|0,013771609000000|100
real-coreutils|GC32|133176169|6291456|0,010290373000000|100
real-coreutils|GC64|159202849|6291456|0,007841438000000|100
real-coreutils|GC128|180507341|6291456|0,006573321000000|100
real-coreutils|GC2|95679331|6291456|0,198161158000000|1000
real-coreutils|GC4|89507781|6291456|0,115067426000000|1000
real-coreutils|GC8|89036793|6291456|0,102406297000000|1000
real-coreutils|GC16|111039605|6291456|0,094331808000000|1000
real-coreutils|GC32|133176169|6291456|0,066484920000000|1000
real-coreutils|GC64|159202849|6291456|0,045561645000000|1000
real-coreutils|GC128|180507341|6291456|0,033229800000000|1000
real-coreutils|GC2|95679331|6291456|1,606701121000000|10000
real-coreutils|GC4|89507781|6291456|0,795319383000000|10000
real-coreutils|GC8|89036793|6291456|0,734715008000000|10000
real-coreutils|GC16|111039605|6291456|0,753898840000000|10000
real-coreutils|GC32|133176169|6291456|0,516469967000000|10000
real-coreutils|GC64|159202849|6291456|0,365349687000000|10000
real-coreutils|GC128|180507341|6291456|0,269236301000000|10000
