file|algorithm|peak|stack|time|substring_size
corpus-chr22.dna|GCIS-ef|1
corpus-chr22.dna|DC8|12829092|6291456|0.000907170000000|1
corpus-chr22.dna|DC16|17631646|6291456|0.001568666000000|1
corpus-chr22.dna|DC32|17631646|6291456|0.001567481000000|1
corpus-chr22.dna|DC64|17631680|6291456|0.001565676000000|1
corpus-chr22.dna|DC128|12711036|6291456|0.001322952000000|1
corpus-chr22.dna|GCIS-ef|10
corpus-chr22.dna|DC8|12829101|6291456|0.001186677000000|10
corpus-chr22.dna|DC16|17631655|6291456|0.002069981000000|10
corpus-chr22.dna|DC32|17631655|6291456|0.001736875000000|10
corpus-chr22.dna|DC64|17631689|6291456|0.001729761000000|10
corpus-chr22.dna|DC128|12711045|6291456|0.001533189000000|10
corpus-chr22.dna|GCIS-ef|100
corpus-chr22.dna|DC8|12829191|6291456|0.003591648000000|100
corpus-chr22.dna|DC16|17631745|6291456|0.003431659000000|100
corpus-chr22.dna|DC32|17631745|6291456|0.003290230000000|100
corpus-chr22.dna|DC64|17631779|6291456|0.003385615000000|100
corpus-chr22.dna|DC128|12711135|6291456|0.003081246000000|100
corpus-chr22.dna|GCIS-ef|1000
corpus-chr22.dna|DC8|12830091|6291456|0.020127702000000|1000
corpus-chr22.dna|DC16|17632645|6291456|0.018797209000000|1000
corpus-chr22.dna|DC32|17632645|6291456|0.019898299000000|1000
corpus-chr22.dna|DC64|17632679|6291456|0.019698211000000|1000
corpus-chr22.dna|DC128|12712035|6291456|0.017409377000000|1000
corpus-chr22.dna|GCIS-ef|10000
corpus-chr22.dna|DC8|12839091|6291456|0.153052866000000|10000
corpus-chr22.dna|DC16|10000
corpus-chr22.dna|DC32|10000
corpus-chr22.dna|DC64|10000
corpus-chr22.dna|DC128|12721035|6291456|0.163945187000000|10000
